sp	ENGLISH	CHINESE	JAPAN	SPANISH	SWAHILI	DANISH	THAI	INDONESIA	VIETNAM	PORTOGUESE	KOREA	BURMESE
L_23	REELS = 5 PLAY 5 REELS WITH MINIMUM BET 50 THE BET X TIMES 50 CREDITS EQUALS THE BET.	转轮数=5  最小投注50分玩5转轮  投注倍数乘以50分等于投注。	リール = 5 最低ベット額50で5リールをプレイ ベット額は、ベット額×50クレジットです。	CARRETES = 5 JUEGA 5 CARRETES CON UNA APUESTA MÍNIMA DE 50 LA APUESTA X POR 50 CRÉDITOS ES IGUAL A LA APUESTA.	NJIA = 5 CHEZA REELI 5 KWA DAU 50 DAU X MARA 50 CREDITS NI SAWA NA DAU.	RULLER = 5 SPIL 5 HJUL MED MINIMUM INDSATS 50 INDSATSET X GANGER 50 KREDITTER ER SIG MED INDSATS.	รีล = 5 เล่น 5 รีลด้วยการเดิมพันขั้นต่ำ 50 การเดิมพัน x คูณ 50 เครดิตเท่ากับการเดิมพัน	REELS = 5 MAINKAN 5 REELS DENGAN TARUHAN MINIMUM 50 TARUHAN X KALI 50 KREDIT SAMA DENGAN TARUHAN.	CUỘN = 5 CHƠI 5 CUỘN VỚI MỨC CƯỢC TỐI THIỂU LÀ 50 CƯỢC X NHÂN 50 TÍN DỤNG BẰNG CƯỢC.	CORINGA especial oferece multiplicadores de prêmios elevados!	릴 = 5 최소 베팅 금액 50으로 릴 5개를 플레이하세요. 베팅 금액 X X 50 크레딧이 베팅 금액과 같습니다.	REELS = ၅ အနိမ့်ဆုံး အလောင်းအစား 50 ဖြင့် 5 REELS ကို ကစားပါ။ လောင်းကြေး X အကြိမ် 50 ခရက်ဒစ်သည် လောင်းကြေးနှင့် ညီမျှသည်။
L_24	ALL LINE PAYS ARE MULTIPLIED BY BET X. ONLY THE HIGHEST LINE WIN IS PAID ON EACH LINE PLAYED. <sprite name="GP_Base_SymbolAll_1"> WINS ARE ADDED TO LINE WINS. ALL LINE PAY SYMBOLS MUST APPEAR ON A BETTED LINE ON ADJACENT REELS BEGINNING WITH THE LEFTMOST REEL.	所有的连线赢分将会乘以投注倍数，在每一已投注线内只派出最高的中奖彩金<sprite name="GP_Base_SymbolAll_1"> 赢分会与连线赢分相 加。连线中奖标志需在已投注的游戏线上从最左至右连续出现，方获派彩。	<color="yellow">ベットXを選択してプレイしてください。すべてのポジションが有効です。</color> <sprite name="GP_Base_SymbolAll_2">を除き、すべての勝利の組み合わせは、左端から右に向かって隣接するリールの有効なポジションに出現した場合にのみ支払われます。すべての勝利の組み合わせの金額はベットXと各リールに出現した勝利シンボルの数で乗算されます。各シンボルについて、各スピンで最も高い勝利の組み合わせのみが支払われます。	<color="yellow">SELECCIONE LA APUESTA X PARA JUGAR. TODAS LAS POSICIONES SON VÁLIDAS.</color> EXCEPTO <sprite name="GP_Base_SymbolAll_2">. TODAS LAS COMBINACIONES GANADORAS SOLO SE PAGAN CUANDO APARECE EN POSICIONES VÁLIDAS DE LOS CARRETES ADYACENTES, COMENZANDO POR EL MÁS A LA IZQUIERDA. TODAS LAS COMBINACIONES GANADORAS SE MULTIPLICAN POR LA APUESTA X Y EL NÚMERO DE SÍMBOLOS GANADORES PRESENTADOS EN CADA CARRETE. POR CADA SÍMBOLO, SOLO SE PAGA LA COMBINACIÓN GANADORA MÁS ALTA EN CADA GIRO.	<color="yellow">CHAGUA DAU X ILI KUCHEZA NAFASI ZOTE NI HALALI.</color> ISIPOKUWA . HESABU ZOTE ZA MCHANGANYIKO WA USHINDI HUZIDISHWA NA BET X. NA IDADI YA ALAMA ZA USHINDI IMETOKEA KWA KILA REEL. KWA KILA ALAMA, MCHANGANYIKO WA USHINDI WA JUU TU NDIO UNAOLIPWA KWA KILA SPIN.	<color="yellow">VÆLG INDSATSET X FOR AT SPILLE. ALLE POSITIONER ER GYLDIGE.</color> UNDTAGET <sprite name="GP_Base_SymbolAll_2">, ALLE VINDERDE KOMBINATIONER SKAL KUN BETALES, NÅR DE VISES PÅ GYLDIGE POSITIONER PÅ TILSTÆNDENDE HJUL, STARTER MED VENSTRE TIL HØJRE. ALLE VINDER KOMBINATIONSBELØB MULTIPLICERES MED INDSATS X. OG ANTALLET AF VINDERSYMBOLER FOREKOMMER PÅ HVERT HJUL. FOR HVER SYMBOL, KUN DEN HØJESTE VINDENDE KOMBINATION BETALES FOR HVER SPIN.	<color="yellow">เลือกเดิมพัน X เพื่อเล่นตำแหน่งทั้งหมดนั้นถูกต้อง</color> ยกเว้น <sprite name="GP_Base_SymbolAll_2">ชุดค่าผสมที่ชนะทั้งหมดจะจ่ายเฉพาะเมื่อปรากฏบนตำแหน่งที่ถูกต้องของรีลที่อยู่ติดกัน โดยเริ่มจากซ้ายสุดไปขวา จำนวนชุดค่าผสมที่ชนะทั้งหมดจะคูณด้วยเดิมพัน X และจำนวนสัญลักษณ์ที่ชนะที่เกิดขึ้นบนรีลแต่ละรีล สำหรับแต่ละสัญลักษณ์ จะจ่ายเฉพาะชุดค่าผสมที่ชนะสูงสุดในแต่ละสปิน	<color="yellow">PILIH TARUHAN X UNTUK BERMAIN SEMUA POSISI VALID.</color> KECUALI <sprite name="GP_Base_SymbolAll_2">, SEMUA KOMBINASI YANG MENANG HANYA DAPAT DIBAYAR KETIKA MUNCUL DI POSISI VALID PADA GULUNGAN YANG BERDEKATAN, DIMULAI DARI PALING KIRI KE KANAN. SEMUA JUMLAH KOMBINASI YANG MENANG DIKALI DENGAN TARUHAN X. DAN JUMLAH SIMBOL YANG MENANG YANG TERJADI DI SETIAP GULUNGAN. UNTUK SETIAP SIMBOL, HANYA KOMBINASI YANG MENANG TERTINGGI YANG DIBAYAR DI SETIAP PUTARAN.	<color="yellow">CHỌN CƯỢC X ĐỂ CHƠI TẤT CẢ CÁC VỊ TRÍ ĐỀU HỢP LỆ.</color> NGOẠI TRỪ <sprite name="GP_Base_SymbolAll_2">, TẤT CẢ CÁC TỔ HỢP CHIẾN THẮNG CHỈ ĐƯỢC TRẢ KHI XUẤT HIỆN Ở CÁC VỊ TRÍ HỢP LỆ CỦA CÁC CUỘN LIÊN KẾT, BẮT ĐẦU TỪ TRÁI CÙNG SANG PHẢI. TẤT CẢ CÁC SỐ TIỀN TỔ HỢP CHIẾN THẮNG ĐƯỢC NHÂN VỚI CƯỢC X. VÀ SỐ LƯỢNG CÁC BIỂU TƯỢNG CHIẾN THẮNG XẢY RA TRÊN MỖI CUỘN. ĐỐI VỚI MỖI BIỂU TƯỢNG, CHỈ TỔ HỢP CHIẾN THẮNG CAO NHẤT MỚI ĐƯỢC TRẢ TRONG MỖI LẦN QUAY.	<color="yellow">SELECIONE A APOSTA X PARA JOGAR. TODAS AS POSIÇÕES SÃO VÁLIDAS.</color> EXCETO <sprite name="GP_Base_SymbolAll_2">, TODAS AS COMBINAÇÕES VENCEDORAS SÃO PAGAS SOMENTE QUANDO APARECEM EM POSIÇÕES VÁLIDAS DE ROLOS ADJACENTES, COMEÇANDO DA ESQUERDA PARA A DIREITA. TODOS OS VALORES DAS COMBINAÇÕES VENCEDORAS SÃO MULTIPLICADOS PELA APOSTA X E PELO NÚMERO DE SÍMBOLOS VENCEDORES OCORRIDOS EM CADA ROLO. PARA CADA SÍMBOLO, SOMENTE A COMBINAÇÃO VENCEDORA MAIS ALTA É PAGA EM CADA GIRO.	<color="yellow">모든 위치에서 플레이하려면 베팅 X를 선택하세요.</color> 단, <sprite name="GP_Base_SymbolAll_2">는 제외합니다. 모든 당첨 조합은 인접한 릴의 유효한 위치에 나타날 때만 지급되며, 왼쪽에서 오른쪽으로 진행됩니다. 모든 당첨 조합 금액은 베팅 X와 각 릴에 발생한 당첨 심볼의 개수를 곱한 값입니다. 각 심볼에 대해 매 스핀마다 가장 높은 당첨 조합만 지급됩니다.	<color="yellow">ရွေးချယ်ရန် Bet X ကိုရွေးချယ်ပါ ရာထူးအားလုံးသည် တရားဝင်သည်။</color> မှလွဲ၍ <sprite name="GP_Base_SymbolAll_2">၊ အနိုင်ရရှိသော ပေါင်းစပ်မှုများ အားလုံးကို ဘေးကပ်လျက် ရစ်ပတ်၏ မှန်ကန်သော အနေအထားများတွင် ပေါ်လွင်လာသောအခါမှသာ ပေးချေနိုင်ပါသည်။ အနိုင်ရရှိသောပေါင်းစည်းမှုပမာဏအားလုံးကို Bet X ဖြင့် မြှောက်ပေးပါသည်။ နှင့် REEL တစ်ခုစီတွင် အနိုင်ရသည့် သင်္ကေတနံပါတ်များ ပေါ်ပေါက်ပါသည်။ သင်္ကေတတစ်ခုစီအတွက်၊ လှည့်ခြင်းတစ်ခုစီတွင် အမြင့်ဆုံးအနိုင်ရသော ပေါင်းစပ်မှုကိုသာ ပေးချေသည်။
L_25	play all 50 lines with minimum bet 30 credits.	最小投注30分玩50线。										
L_26	MALFUNCTION VOIDS ALL PLAYS AND PAYS	如遇任何故障导致游戏结果无法被判定时,此局游戏不成立。										
L_27	NUMBER OF SPINS	白动场次										
L_28	Feature 1	特色1										
L_29	Feature 2	特色2										
L_30	Feature 3	特色3										
L_31	NUMBER OF SPINS	自动场次										
L_32	Mask Reel Bonus	脸谱转轮奖赏										
L_33	appears anywhere on reel 3,4 and 5. Initiates mask reel bonus	出现在第3、4及5转轮上任一位置时,即可触发脸谱转轮奖赏。										
L_34	3  <sprite name="GP_Base_SymbolAll_1">APPEARING ANYWHERE ON REELS 3, 4 AND 5 INITIATES MASK REEL BONUS. A REEL WITH SEVERAL MASK MULTIPLIERS IS SHOWN IN THIS BONUS GAME. THE REEL SPINS ONCE AS THE BONUS GAME STARTS. AFTER THE REEL STOPS, THE INDICATED MASK MULTIPLIER IS WON. THEN THE MASK MULTIPLIER TIMES THE BET AND THE TOTAL WIN IS AWARDED. THE MAXIMUM AWARD OF MASK REEL BONUS IS <color="yellow"> 200X MULTIPLIER.	3  <sprite name="GP_Base_SymbolAll_1"> 出现在第3、4及5转轮上任一位置时,即可触发脸谱转轮奖赏。 不同倍数的脸谱将会出现在脸谱转轮上。 当奖赏游戏开始,转轮转动一次。 当转轮停止,停在指标上的脸谱即是玩家赢得的倍数。 此脸谱倍数乘上投注后为脸谱转轮奖赏赢得的贏分。 脸谱转轮奖赏最高可得倍数为<color="yellow">200倍。										
L_35	DURING MASK REEL BONUS THE BET X REMAINS THE SAME AS THE SPIN THAT TRIGGERED THE BONUS.  <sprite name="GP_Base_SymbolAll_1"> DOES NOT APPEAR IN FREE SPIN BONUS.	在脸谱转轮奖赏中,投注倍数与触发免费游戏奖赏时相同。<sprite name="GP_Base_SymbolAll_1">  不会出现在免费游戏奖赏。										
L_36	Substitute for all symbols except  <sprite name="GP_Base_SymbolAll_1"> AND ONLY APPEARS IN REELs 2,3,4 AND 5.	可代替所有标志，除了<sprite name="GP_Base_SymbolAll_1"> 以外，且只出现在第2、3、4及5转 轮。										
L_37	PRESS SPIN TO START THE BONUS	点击以开始免费游戏										
L_38	Free Spin Bonus	免费游戏奖赏	フリースピンボーナス	Bono de giros gratis	Bure Spin Bonus	Gratis spin bonus	โบนัสหมุนฟรี	Bonus Putaran Gratis	Tiền thưởng vòng quay miễn phí	Bônus de Rodada Grátis	무료 스핀 보너스	အခမဲ့လှည့်ခြင်းအပိုဆု
